"id","label","description","dialect:sv","dialect:num","dialect:wikidata"
"MVR","Maldivian rufiyaa","Maldivian rufiyaa","Rufiyah",462,"Q211694"
"MWK","Malawian kwacha","Malawian kwacha","malawisk kwacha",454,"Q4730"
"MXN","Mexican peso","Mexican peso","Mexikansk peso",484,"Q163712"
"MYR","Malaysian ringgit","Malaysian ringgit","Ringgit",458,"Q200753"
"MZN","Mozambican metical","Mozambican metical","Metical",943,"Q202462"
"NAD","Namibian dollar","Namibian dollar","Namibisk dollar",516,"Q203567"
"NGN","Nigerian naira","Nigerian naira","Naira",566,"Q207312"
"NIO","Nicaraguan córdoba","Nicaraguan córdoba","Córdoba",558,"Q132643"
"NOK","Norwegian krone","Norwegian krone","Norsk krona",578,"Q202895"
"NPR","Nepalese rupee","Nepalese rupee","Nepalesisk rupie",524,"Q1472704"
"NZD","New Zealand dollar","New Zealand dollar","Nyzeeländsk dollar",554,"Q272290"
"OMR","Omani rial","Omani rial","Omansk rial",512,"Q210472"
"PAB","Panamanian balboa","Panamanian balboa","Balboa",590,"Q210472"
"PEN","Peruvian Sol","Peruvian Sol","Nuevo sol",604,"Q200759"
"PGK","Papua New Guinean kina","Papua New Guinean kina","Kina",598,"Q17193"
"PHP","Philippine peso","Philippine peso","Filippinsk peso",608,"Q188289"
"PKR","Pakistani rupee","Pakistani rupee","Pakistansk rupie",586,"Q188289"
"PLN","Polish złoty","Polish złoty","Złoty",985,"Q207514"
"PYG","Paraguayan guaraní","Paraguayan guaraní","Guarani",600,"Q206386"
"QAR","Qatari riyal","Qatari riyal","Qatarisk rial",634,"Q206386"
"RON","Romanian leu","Romanian leu","Rumänsk leu",946,"Q172524"
"RSD","Serbian dinar","Serbian dinar","Serbisk dinar",941,"Q41044"
"RUB","Russian ruble","Russian ruble","Rysk rubel",643,"Q4741"
"RWF","Rwandan franc","Rwandan franc","Rwandisk franc",646,"Q199857"
"SAR","Saudi riyal","Saudi riyal","Saudiarabisk rial",682,"Q4597"
"SBD","Solomon Islands dollar","Solomon Islands dollar","Salomondollar",90,"Q4597"
"SCR","Seychelles rupee","Seychelles rupee","Seychellisk rupie",690,"Q271206"
"SDG","Sudanese pound","Sudanese pound","Sudanesiskt pund",938,"Q271206"
"SEK","Swedish krona/kronor","Swedish krona/kronor","Svensk krona",752,"Q190951"
"SGD","Singapore dollar","Singapore dollar","Singaporiansk dollar",702,"Q374453"
"SHP","Saint Helena pound","Saint Helena pound","Sankthelenskt pund",654,"Q4587"
"SLL","Sierra Leonean leone","Sierra Leonean leone","Leone",694,"Q4603"
"SOS","Somali shilling","Somali shilling","Somalisk shilling",706,"Q202036"
"SRD","Surinamese dollar","Surinamese dollar","Surinamesisk dollar",968,"Q244366"
"SSP","South Sudanese pound","South Sudanese pound","Sydsudanesiskt pund",728,"Q193712"
"STD","São Tomé and Príncipe dobra","São Tomé and Príncipe dobra","Dobra",678,"Q240468"
"SYP","Syrian pound","Syrian pound","Syriskt pund",760,"Q4823"
"SZL","Swazi lilangeni","Swazi lilangeni","Lilangeni",748,"Q177882"
"THB","Thai baht","Thai baht","Baht",764,"Q199886"
"TJS","Tajikistani somoni","Tajikistani somoni","Somoni",972,"Q199886"
"TMM","Turkmenistani manat","Former Turkmenistani manat","Turkmenistansk manat",795,"Q486637"
"TND","Tunisian dinar","Tunisian dinar","Tunisisk dinar",788,"Q4613"
"TOP","Tongan paʻanga","Tongan paʻanga (often rendered as pa’anga)","Pa'anga",776,"Q172872"
"TRY","Turkish lira","Turkish lira","Turkisk lira",949,"Q242890"
"TTD","Trinidad and Tobago dollar","Trinidad and Tobago dollar","Trinidaddollar",780,"Q208526"
"TWD","New Taiwan dollar","New Taiwan dollar","Taiwanesisk dollar",901,"Q4589"
"TZS","Tanzanian shilling","Tanzanian shilling","Tanzanisk shilling",834,"Q4589"
"UAH","Ukrainian hryvnia","Ukrainian hryvnia","Hryvnja",980,"Q4598"
"UGX","Ugandan shilling","Ugandan shilling","Ugandisk shilling",800,"Q4917"
"USD","United States dollar","United States dollar","Amerikansk dollar",840,"Q209272"
"UYU","Uruguayan peso","Uruguayan peso","Uruguayansk peso",858,"Q209272"
"UZS","Uzbekistan som","Uzbekistan som","Uzbekistansk som",860,"Q203757"
"VEF","Venezuelan bolívar","Venezuelan bolívar","Bolívar",937,"Q203757"
"VND","Vietnamese đồng","Vietnamese đồng","Dong",704,"Q192090"
"VUV","Vanuatu vatu","Vanuatu vatu","Vatu",548,"Q207523"
"WST","Samoan tālā","Samoan tālā","Tala",882,"Q4588"
"XAF","CFA franc BEAC","Central African CFA franc","CFA-franc (BEAC)",950,"Q847739"
"XCD","East Caribbean dollar","East Caribbean dollar","Östkaribisk dollar",951,"Q26365"
"XOF","CFA franc BCEAO","West African CFA franc","CFA-franc (BCEAO)",952,"Q861690"
"XPF","CFP franc","Pacifique CFP franc","CFP-franc",953,"Q240512"
"YER","Yemeni rial","Yemeni rial","Jemenitisk rial",886,"Q181907"
"ZAR","South African rand","South African rand","Rand",710,"Q73408"
"ZMK","Zambian kwacha","Zambian kwacha","Zambisk kwacha",894,"Q73408"
"ZWD","Zimbabwean dollar ","Zimbabwean dollar ","Zimbabwisk dollar",716,"Q182803"
